model,subject,accuracy,kappa
csp_lda,1,0.65,0.3
csp_svm,1,0.5607142857142857,0.15
riemann_lr,1,0.7714285714285715,0.5439999999999999
csp_lda,2,0.6888888888888889,0.39750550073862606
csp_svm,2,0.7555555555555554,0.5272194623300692
riemann_lr,2,0.8,0.6144955044955044
csp_lda,3,0.5694444444444444,0.12405405405405405
csp_svm,3,0.475,-0.06951219512195124
riemann_lr,3,0.6166666666666666,0.2298311444652908
csp_lda,4,0.5555555555555556,0.12665953027776475
csp_svm,4,0.5555555555555556,0.1599870350862977
riemann_lr,4,0.711111111111111,0.4151953053365121
csp_lda,5,0.5111111111111111,0.014779831029644464
csp_svm,5,0.48888888888888893,-0.08421052631578947
riemann_lr,5,0.48888888888888893,-0.04331479959386937
csp_lda,6,0.6444444444444445,0.3108657416454954
csp_svm,6,0.5027777777777778,-0.08421052631578947
riemann_lr,6,0.5722222222222222,0.1308567854909318
csp_lda,7,0.9142857142857143,0.8222608695652174
csp_svm,7,0.9428571428571428,0.8831304347826088
riemann_lr,7,0.8857142857142858,0.7454545454545455
csp_lda,8,0.48888888888888893,-0.015223800589654269
csp_svm,8,0.4444444444444445,-0.10456445993031352
riemann_lr,8,0.5777777777777777,0.17107826943334598
csp_lda,10,0.38571428571428573,-0.23333333333333334
csp_svm,10,0.5142857142857142,-0.05
riemann_lr,10,0.5392857142857143,0.06739130434782607
csp_lda,11,0.6833333333333333,0.3875617859168624
csp_svm,11,0.5222222222222221,0.10069767441860464
riemann_lr,11,0.7944444444444444,0.5857509627727857
csp_lda,12,0.4,-0.21259179844545698
csp_svm,12,0.5333333333333334,0.0
riemann_lr,12,0.7333333333333333,0.47087108013937284
csp_lda,14,0.4305555555555555,-0.12881452070334656
csp_svm,14,0.5,0.011257035647279489
riemann_lr,14,0.4527777777777778,-0.09612873647533464
csp_lda,15,0.5166666666666666,-0.020000000000000018
csp_svm,15,0.6499999999999999,0.25999999999999995
riemann_lr,15,0.4666666666666666,-0.12000000000000002
csp_lda,16,0.48888888888888893,-0.002172949002217317
csp_svm,16,0.5333333333333334,0.07363960329300508
riemann_lr,16,0.5333333333333334,0.09907771543022467
csp_lda,17,0.8,
csp_svm,17,0.6,
riemann_lr,17,0.7,
csp_lda,18,0.5555555555555556,0.13366470738563763
csp_svm,18,0.4444444444444445,-0.12196558255608321
riemann_lr,18,0.4666666666666666,-0.04571390345638791
csp_lda,19,0.5809523809523809,0.15072463768115943
csp_svm,19,0.45714285714285713,-0.08000000000000003
riemann_lr,19,0.5857142857142856,0.18461538461538465
csp_lda,20,0.5333333333333334,0.07756633610292143
csp_svm,20,0.4666666666666666,-0.038745644599303096
riemann_lr,20,0.4666666666666667,-0.03864311942647312
